,z
1951,-3.7719371
1952,-4.65543
1953,-10.252144
1954,-3.5565917
1955,0.00641966
1956,-11.029564
1957,-8.336403
1958,-10.458231
1959,6.0555425
1960,3.0974126
1961,-2.429668
1962,-5.7455935
1963,-12.541585
1964,-4.4622054
1965,7.1074724
1966,-1.0515023
1967,1.3196208
1968,8.693129
1969,-0.6992713
1970,-4.9418783
1971,-0.0008842641
1972,-2.8397422
1973,-5.810752
1974,-5.746201
1975,-8.747141
1976,-7.0533442
1977,-3.0741389
1978,-3.2729695
1979,-1.4190446
1980,-2.011057
1981,1.2056955
1982,-1.2630229
1983,-11.329312
1984,-3.1781986
1985,-2.9614637
1986,-5.961922
1987,-2.2904701
1988,-10.570176
1989,1.0317608
1990,-7.311513
1991,0.5023674
1992,-1.3113239
1993,-8.384372
1994,4.839998
1995,-6.5087967
1996,-2.2549474
1997,-4.8959713
1998,-1.3135456
1999,-12.246749
