,Song,x,y,z,danceable_ML,not_danceable_ML,female,male,voice,instrumental,tonal,atonal,spectral_complexity.mean
304,0305_California Gurls - Katy Perry,-16.026196,4.629069,0.48367557,0.9999784,2.2327207e-05,0.9271271,0.07356237,0.935005,0.066873975,0.99983275,0.002236344,19.659706115722656
305,0306_Firework - Katy Perry,-1.1014314,-2.9910648,-5.058415,0.5210966,0.46234182,0.6233876,0.37774438,0.9823378,0.01778401,0.9040492,0.09703435,19.788862228393555
306,0307_Circle The Drain - Katy Perry,-10.390048,6.5613413,-3.0643833,0.9959014,0.004886172,0.9062032,0.09540467,0.9843457,0.013815218,0.82518977,0.1822658,15.604795455932615
307,0308_E.T. - Katy Perry,-12.107518,-4.8250813,4.1737905,0.91322213,0.09855129,0.5763381,0.42671877,0.98179173,0.010673088,0.996471,0.01901614,18.470224380493164
308,0309_Treasure - Bruno Mars,-5.205972,3.5117712,-3.2963202,0.9997952,0.00017608958,0.45947862,0.5445215,0.93769825,0.07751355,0.7972854,0.26812702,17.318639755249023
309,0310_Grenade - Bruno Mars,6.9835234,13.868458,8.597864,0.99994963,0.00014065957,0.7868065,0.21544386,0.9498394,0.035925537,0.86843914,0.21364872,11.36736297607422
310,0311_Angels - Robbie Williams,10.540237,-10.170268,-9.595393,0.0120465895,0.98787045,0.29613623,0.7050723,0.9907904,0.010392213,0.6693477,0.3036386,20.87393569946289
311,0312_Augenbling - Seeed,-5.869982,11.009876,3.696249,0.9999718,3.9008766e-05,0.4692672,0.53383726,0.9896178,0.009409851,0.99998856,0.00039950135,13.6024751663208
312,0313_Thrift Shop (feat. Wanz) - Macklemore,-11.510829,6.4006076,14.707045,0.97582537,0.020783551,0.19606979,0.805489,0.9908779,0.009936397,0.9963395,0.022802047,16.896364212036133
313,0314_Undisclosed Desires - Muse,-1.5234996,2.2423832,1.018213,0.9031319,0.09423548,0.29140925,0.7102802,0.96554434,0.028200906,0.99799716,0.008052015,20.693735122680664
314,0315_We Are Young (feat. Janelle Monáe) - fun.,0.023345796,-9.556899,5.9858007,0.97021896,0.078068666,0.53657895,0.4647051,0.90174216,0.09334729,0.9894133,0.011295041,21.08739280700684
315,0316_La La La - Naughty Boy,0.37689534,13.140681,8.562058,0.9999497,7.613079e-05,0.75098443,0.25094154,0.7021416,0.29507336,0.9951078,0.01259952,14.47254467010498
316,0317_Dare (La La La) - Shakira,-10.511846,9.574979,2.693683,0.99998736,1.5133252e-05,0.873687,0.12770371,0.95479864,0.054114856,0.9998382,0.0044371546,18.09590148925781
317,0318_Summertime Sadness - Lana Del Rey,6.861779,-6.6627355,-0.34828627,0.8493303,0.1438625,0.51148474,0.4913967,0.9899643,0.011595277,0.94178945,0.07188719,22.027841567993164
318,0319_Rock Your Body - Justin Timberlake,-11.330867,-1.9312673,11.749567,0.99925685,0.00055196276,0.44435367,0.55723214,0.95595855,0.0458823,0.78590727,0.27727872,14.074246406555176
319,"0320_CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"") - Justin Timberlake",-11.960086,-2.5317845,3.4000225,0.9999569,4.250116e-05,0.42832536,0.5745738,0.9899716,0.0071847155,0.9997369,0.0029584714,19.655065536499023
320,0321_Mirrors - Justin Timberlake,-4.001628,3.1533058,-1.2661835,0.94927275,0.037357442,0.31217954,0.68869513,0.9908124,0.007796824,0.9982862,0.0061102463,20.084300994873047
321,0322_Hips Don't Lie (feat. Wyclef Jean) - Shakira,-10.038732,3.118034,-3.7467706,0.96347827,0.030907875,0.30249664,0.7005584,0.99426943,0.0070181913,0.9715597,0.06457209,19.251354217529297
322,0323_You Can Do It - Feat. Mack 10 And Ms Toi - Ice Cube,-4.465422,5.3984985,-6.7768145,0.9999551,3.9616978e-05,0.120138824,0.88205224,0.9907306,0.061047748,0.999944,0.0027295607,12.631863594055176
323,0324_The Fox (What Does the Fox Say?) - Ylvis,-18.986406,3.2104745,6.286614,0.9996476,0.0013092492,0.6372895,0.3702555,0.99980766,0.00020737333,0.99970025,0.0009205069,14.228151321411133
324,0325_Wavin' Flag - Coca-Cola® Celebration Mix - K'NAAN,2.5055504,-10.11882,-10.273761,0.26132664,0.6748582,0.09380976,0.9061027,0.99923056,0.0008398112,0.9999227,0.0003883698,18.87238883972168
325,0326_...Baby One More Time - Britney Spears,1.2876557,-3.248639,-13.017171,0.913355,0.08363989,0.62980086,0.37267333,0.9852497,0.013805254,0.965586,0.08646193,17.14617156982422
