,danceable_ML,not_danceable_ML,female,male,voice,instrumental,tonal,atonal,spectral_complexity.mean
1593,0.0052112606,0.9978158,0.46713507,0.53349036,0.062756956,0.92838717,0.030819962,0.95429844,11.432328224182127
1594,0.01188888,0.9908917,0.5616037,0.4404638,0.27353442,0.6811545,0.83790237,0.09778668,16.753286361694336
1595,0.023831671,0.97528005,0.5713275,0.4357145,0.122310385,0.87376326,0.854366,0.113150485,8.521268844604492
1596,0.012570005,0.9895207,0.6664591,0.33639994,0.05281831,0.944848,0.993817,0.0070606596,9.373549461364746
1597,0.046625327,0.9604149,0.66696995,0.33607727,0.21778834,0.7781938,0.6832861,0.168741,16.30084991455078
1598,0.017152244,0.9846862,0.59537077,0.40623719,0.11134582,0.88897496,0.8908426,0.11677568,7.621036529541016
1599,0.006413935,0.99481773,0.3719579,0.63090414,0.20369129,0.8155796,0.391961,0.60518694,16.07037925720215
1600,0.088028155,0.917246,0.6879751,0.3145266,0.09850156,0.9009818,0.6080427,0.32190382,15.320959091186523
1601,0.0058832983,0.99611044,0.5050759,0.4966893,0.2921486,0.7159435,0.5894546,0.37565622,17.70301628112793
1602,0.082340665,0.91327184,0.7503699,0.2521583,0.047465477,0.9472291,0.71891266,0.3388269,3.1933488845825195
1603,0.019674787,0.9804454,0.44045272,0.5607244,0.053495124,0.9428005,0.6875298,0.35386088,6.876256942749023
1604,0.0068290797,0.99756795,0.50006145,0.501948,0.120195955,0.871565,0.14999533,0.75249934,16.288476943969727
1605,0.007283551,0.99554586,0.47158232,0.5300826,0.15276274,0.82995045,0.46056262,0.41143703,18.67594718933105
1606,0.8425111,0.18422082,0.4330969,0.5669062,0.18620998,0.77558273,0.59876424,0.38424692,14.91724681854248
1607,0.049885888,0.9497895,0.5842785,0.41734275,0.23711248,0.7701824,0.119556226,0.9200638,11.315545082092283
1608,0.0118642775,0.98936784,0.5238262,0.47724,0.075650886,0.92268795,0.6887666,0.27912173,6.681361198425293
1609,0.0026851955,0.99851656,0.511281,0.49089277,0.2857541,0.7182108,0.5513811,0.36948022,15.645011901855469
1610,0.012164191,0.9914328,0.61281955,0.39001545,0.37639782,0.5984581,0.8582432,0.093899265,14.820571899414062
